date_utc,Predicted_Physical_kW,Predicted_Hybrid_kW,Predicted_Hybrid_MW,Predicted_Physical_MW
2026-06-26 10:45:00+03:00,2967.700059174123,3059.327698944631,3.0593276989446307,2.967700059174123
2026-06-26 11:00:00+03:00,3123.884106887613,3393.2006352079256,3.3932006352079256,3.1238841068876133
2026-06-26 11:15:00+03:00,3263.8620390180868,3417.9771818403524,3.4179771818403526,3.2638620390180866
2026-06-26 11:30:00+03:00,3372.921935677429,3554.8010097741085,3.5548010097741085,3.3729219356774287
2026-06-26 11:45:00+03:00,3430.7263943940907,3377.509326675585,3.3775093266755847,3.4307263943940907
2026-06-26 12:00:00+03:00,3440.22006898982,3198.8075781450934,3.1988075781450935,3.44022006898982
2026-06-26 12:15:00+03:00,3417.66483340747,3444.9295562315665,3.4449295562315667,3.41766483340747
2026-06-26 12:30:00+03:00,3381.256299918306,3199.938657706392,3.199938657706392,3.3812562999183062
2026-06-26 12:45:00+03:00,3336.578339613475,3119.9032297501935,3.1199032297501934,3.336578339613475
2026-06-26 13:00:00+03:00,3276.6369784050726,2756.8176424675726,2.7568176424675728,3.2766369784050724
2026-06-26 13:15:00+03:00,3200.5089588628057,2576.820787476087,2.576820787476087,3.2005089588628057
2026-06-26 13:30:00+03:00,3112.504129368471,2431.4849643294083,2.431484964329408,3.112504129368471
2026-06-26 13:45:00+03:00,3016.0874592673194,2682.259761513413,2.6822597615134134,3.0160874592673195
2026-06-26 14:00:00+03:00,2894.9775326996714,1790.003289535609,1.7900032895356088,2.8949775326996714
2026-06-26 14:15:00+03:00,2788.2614077320845,2160.007806657866,2.1600078066578656,2.7882614077320844
2026-06-26 14:30:00+03:00,2726.836745714615,1653.1786646599276,1.6531786646599276,2.726836745714615
2026-06-26 14:45:00+03:00,2731.61931261028,1498.5854991337173,1.4985854991337173,2.7316193126102797
2026-06-26 15:00:00+03:00,2807.834792532934,1594.765944876684,1.594765944876684,2.807834792532934
2026-06-26 15:15:00+03:00,2888.015090625455,1471.7285916020173,1.4717285916020173,2.888015090625455
2026-06-26 15:30:00+03:00,2891.114186278414,1419.5522966299764,1.4195522966299763,2.891114186278414
2026-06-26 15:45:00+03:00,2762.660329379856,1026.0692649267312,1.0260692649267311,2.762660329379856
2026-06-26 16:00:00+03:00,2558.4317778637637,620.2805327465762,0.6202805327465762,2.5584317778637637
2026-06-26 16:15:00+03:00,2344.900589882646,473.8207558982708,0.47382075589827083,2.344900589882646
2026-06-26 16:30:00+03:00,2157.158055176021,287.7417954103962,0.2877417954103962,2.157158055176021
2026-06-26 16:45:00+03:00,1995.5629417132948,412.5600120257948,0.4125600120257948,1.9955629417132947
2026-06-26 17:00:00+03:00,1833.3288815708715,493.70644504743404,0.49370644504743405,1.8333288815708715
2026-06-26 17:15:00+03:00,1674.8327189026254,486.5087442932504,0.4865087442932504,1.6748327189026253
2026-06-26 17:30:00+03:00,1529.7254917187263,443.7347690624763,0.4437347690624763,1.5297254917187262
2026-06-26 17:45:00+03:00,1401.1887425573632,291.5761937292382,0.2915761937292382,1.4011887425573633
2026-06-26 18:00:00+03:00,1272.9638739899053,285.2519599274053,0.2852519599274053,1.2729638739899054
2026-06-26 18:15:00+03:00,1127.963662070278,467.53110591793416,0.4675311059179342,1.127963662070278
2026-06-26 18:30:00+03:00,954.4446495123943,472.37592392645684,0.47237592392645683,0.9544446495123944
2026-06-26 18:45:00+03:00,751.2713067759755,227.58807923691302,0.22758807923691302,0.7512713067759755
2026-06-26 19:00:00+03:00,544.3916160046583,547.2551995694166,0.5472551995694166,0.5443916160046584
2026-06-26 19:15:00+03:00,356.292785607531,255.26076503868336,0.25526076503868333,0.356292785607531
2026-06-26 19:30:00+03:00,224.6432972989177,104.93419848299973,0.10493419848299973,0.2246432972989177
2026-06-26 19:45:00+03:00,182.25445515714662,5.265517779216935,0.005265517779216936,0.1822544551571466
2026-06-26 20:00:00+03:00,159.19449954893238,0.0,0.0,0.1591944995489324
2026-06-26 20:15:00+03:00,138.08501627974712,0.2731113725205603,0.0002731113725205603,0.13808501627974712
2026-06-26 20:30:00+03:00,99.76576025000139,0.0,0.0,0.09976576025000139
2026-06-26 20:45:00+03:00,49.55388851109551,12.667322348986133,0.012667322348986133,0.04955388851109551
2026-06-26 21:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 21:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 21:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 21:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 22:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 22:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 22:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 22:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 23:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 23:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 23:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-26 23:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 00:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 00:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 00:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 00:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 01:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 01:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 01:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 01:45:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 02:00:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 02:15:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 02:30:00+03:00,0.0,0.0,0.0,0.0
2026-06-27 02:45:00+03:00,0.0,0.0,0.0,0.0
